Ref,Qty,Value,Footprint,Dielectric/Type,Voltage,Tolerance,Power/Current,Manufacturer,MPN,Description,Status,Notes,Sheet
J13,1,Conn_01x08_Pin,,,,,,,,1x8 2.54mm header - assign PN,SELECT,,Connectors
J14,1,Conn_01x02_Pin,,,,,,,,1x2 2.54mm header - assign PN,SELECT,,Connectors
J15,1,Conn_Coaxial,,,,,,,,SMA coax connector - assign PN,SELECT,,Connectors
J16,1,06SR-3S,,,,,,JST,06SR-3S,JST SR 6-pin 2.5mm connector,KEEP,,Connectors
K1,1,G6K-2F-Y DC3,,,,,,Omron,G6K-2F-Y DC3,DPDT signal relay 3VDC,KEEP,,Rb IO
K2,1,G6K-2F-Y DC3,,,,,,Omron,G6K-2F-Y DC3,DPDT signal relay 3VDC,KEEP,,WDT
L1,1,47nH,0402,Inductor,,,300mA,Murata,LQG15HS47NJ02D,IND 47nH 300mA,STD,RF choke 0402,GPS Antenna
L2,1,6.8uH,,Inductor,,,11.5A,,,IND 6.8uH 11.5A,SELECT,main 5V buck (U28 MIC28516); Isat>=12A shielded,5V/3.3V Main Power Supply
L3,1,2.2uH,,Inductor,,,4.15A,,,IND 2.2uH 4.15A,SELECT,3V3 buck (U29 AP3441); shielded,5V/3.3V Main Power Supply
L4,1,2.2uH,,Inductor,,,,,,IND 2.2uH,SELECT,TPS61094 backup (U34); size Isat for boost peak,Battery Backup Supplies
L5,1,2.2uH,,Inductor,,,,,,IND 2.2uH,SELECT,TPS61094 backup (U35); size Isat for boost peak,Battery Backup Supplies
L6,1,2.2uH,,Inductor,,,4.15A,,,IND 2.2uH 4.15A,SELECT,OCXO buck (U38 AP3441); shielded,OCXO
L7,1,40uH,,Inductor,,,,,,IND 40uH,SELECT,Rb buck (U40 MIC28516) high-Vout; size Isat,Rb Power
L8,1,600 100MHz,,Ferrite bead,,,3A,Murata,BLM21PG600SN1D,FERRITE BEAD 600 100MHz,STD,ferrite bead 0805,Rb IO
