Ref,Qty,Value,Footprint,Dielectric/Type,Voltage,Tolerance,Power/Current,Manufacturer,MPN,Description,Status,Notes,Sheet
R217,1,820,R_0805_2012Metric,Thick-film,,1%,1/8W,Panasonic,ERJ-6ENF8200V,RES 820 1% 1/8W 0805,STD,as-built 0805 (power/size),LED
R218,1,49.9k,R_0402_1005Metric,Thick-film,,1%,1/10W,Panasonic,ERJ-2RKF4992X,RES 49.9k 1% 1/10W 0402,STD,,Refrence Clock Input
R219,1,402k,R_0402_1005Metric,Thick-film,,1%,1/10W,Panasonic,ERJ-2RKF4023X,RES 402k 1% 1/10W 0402,STD,,Refrence Clock Input
R220,1,10k,R_0402_1005Metric,Thick-film,,1%,1/10W,Panasonic,ERJ-2RKF1002X,RES 10k 1% 1/10W 0402,STD,,GPIO (page 17)
R221,1,10k,R_0402_1005Metric,Thick-film,,1%,1/10W,Panasonic,ERJ-2RKF1002X,RES 10k 1% 1/10W 0402,STD,,GPIO (page 17)
R222,1,10k,R_0402_1005Metric,Thick-film,,1%,1/10W,Panasonic,ERJ-2RKF1002X,RES 10k 1% 1/10W 0402,STD,,GPIO (page 17)
R223,1,10k,R_0402_1005Metric,Thick-film,,1%,1/10W,Panasonic,ERJ-2RKF1002X,RES 10k 1% 1/10W 0402,STD,,GPIO (page 17)
R224,1,10k,R_0402_1005Metric,Thick-film,,1%,1/10W,Panasonic,ERJ-2RKF1002X,RES 10k 1% 1/10W 0402,STD,,GPIO (page 17)
R225,1,10k,R_0402_1005Metric,Thick-film,,1%,1/10W,Panasonic,ERJ-2RKF1002X,RES 10k 1% 1/10W 0402,STD,,GPIO (page 17)
R226,1,10k,R_0402_1005Metric,Thick-film,,1%,1/10W,Panasonic,ERJ-2RKF1002X,RES 10k 1% 1/10W 0402,STD,,GPIO (page 17)
R227,1,10k,R_0402_1005Metric,Thick-film,,1%,1/10W,Panasonic,ERJ-2RKF1002X,RES 10k 1% 1/10W 0402,STD,,GPIO (page 17)
R228,1,5k,R_0402_1005Metric,Thick-film,,1%,1/10W,Panasonic,ERJ-2RKF5001X,RES 5k 1% 1/10W 0402,STD,,Ethernet PHY
R229,1,5k,R_0402_1005Metric,Thick-film,,1%,1/10W,Panasonic,ERJ-2RKF5001X,RES 5k 1% 1/10W 0402,STD,,Ethernet PHY
R230,1,5k,R_0402_1005Metric,Thick-film,,1%,1/10W,Panasonic,ERJ-2RKF5001X,RES 5k 1% 1/10W 0402,STD,,Ethernet PHY
R231,1,1M,R_0402_1005Metric,Thick-film,,1%,1/10W,Panasonic,ERJ-2RKF1004X,RES 1M 1% 1/10W 0402,STD,,Connectors
R232,1,1.21k,R_0402_1005Metric,Thick-film,,1%,1/10W,Panasonic,ERJ-2RKF1211X,RES 1.21k 1% 1/10W 0402,STD,,STM32
R233,1,10k,R_0402_1005Metric,Thick-film,,1%,1/10W,Panasonic,ERJ-2RKF1002X,RES 10k 1% 1/10W 0402,STD,,STM32
R234,1,4.7k,R_0402_1005Metric,Thick-film,,1%,1/10W,Panasonic,ERJ-2RKF4701X,RES 4.7k 1% 1/10W 0402,STD,,LED
R235,1,10k,R_0402_1005Metric,Thick-film,,1%,1/10W,Panasonic,ERJ-2RKF1002X,RES 10k 1% 1/10W 0402,STD,,LED
R236,1,10k,R_0402_1005Metric,Thick-film,,1%,1/10W,Panasonic,ERJ-2RKF1002X,RES 10k 1% 1/10W 0402,STD,,GPIO (page 17)
R237,1,100k,R_0402_1005Metric,Thick-film,,1%,1/10W,Panasonic,ERJ-2RKF1003X,RES 100k 1% 1/10W 0402,STD,,Battery Backup Supplies
R238,1,2M,R_0402_1005Metric,Thick-film,,1%,1/10W,Panasonic,ERJ-2RKF2004X,RES 2M 1% 1/10W 0402,STD,,Battery Backup Supplies
R239,1,110k,R_0402_1005Metric,Thick-film,,1%,1/10W,Panasonic,ERJ-2RKF1103X,RES 110k 1% 1/10W 0402,STD,,Battery Backup Supplies
R240,1,150k,R_0402_1005Metric,Thick-film,,1%,1/10W,Panasonic,ERJ-2RKF1503X,RES 150k 1% 1/10W 0402,STD,,Battery Backup Supplies
R241,1,10k,R_0402_1005Metric,Thick-film,,1%,1/10W,Panasonic,ERJ-2RKF1002X,RES 10k 1% 1/10W 0402,STD,,Battery Backup Supplies
R242,1,110k,R_0402_1005Metric,Thick-film,,1%,1/10W,Panasonic,ERJ-2RKF1103X,RES 110k 1% 1/10W 0402,STD,,Battery Backup Supplies
R243,1,150k,R_0402_1005Metric,Thick-film,,1%,1/10W,Panasonic,ERJ-2RKF1503X,RES 150k 1% 1/10W 0402,STD,,Battery Backup Supplies
R244,1,100k,R_0402_1005Metric,Thick-film,,1%,1/10W,Panasonic,ERJ-2RKF1003X,RES 100k 1% 1/10W 0402,STD,,Battery Backup Supplies
R245,1,2M,R_0402_1005Metric,Thick-film,,1%,1/10W,Panasonic,ERJ-2RKF2004X,RES 2M 1% 1/10W 0402,STD,,Battery Backup Supplies
R246,1,10k,R_0402_1005Metric,Thick-film,,1%,1/10W,Panasonic,ERJ-2RKF1002X,RES 10k 1% 1/10W 0402,STD,,Battery Backup Supplies
R247,1,91,R_0805_2012Metric,Thick-film,,1%,1/8W,Panasonic,ERJ-6ENF91R0V,RES 91 1% 1/8W 0805,STD,as-built 0805 (power/size),LED
R248,1,91,R_0805_2012Metric,Thick-film,,1%,1/8W,Panasonic,ERJ-6ENF91R0V,RES 91 1% 1/8W 0805,STD,as-built 0805 (power/size),LED
R249,1,91,R_0805_2012Metric,Thick-film,,1%,1/8W,Panasonic,ERJ-6ENF91R0V,RES 91 1% 1/8W 0805,STD,as-built 0805 (power/size),LED
R250,1,91,R_0805_2012Metric,Thick-film,,1%,1/8W,Panasonic,ERJ-6ENF91R0V,RES 91 1% 1/8W 0805,STD,as-built 0805 (power/size),LED
R251,1,91,R_0805_2012Metric,Thick-film,,1%,1/8W,Panasonic,ERJ-6ENF91R0V,RES 91 1% 1/8W 0805,STD,as-built 0805 (power/size),LED
R252,1,91,R_0805_2012Metric,Thick-film,,1%,1/8W,Panasonic,ERJ-6ENF91R0V,RES 91 1% 1/8W 0805,STD,as-built 0805 (power/size),LED
R253,1,150,R_0805_2012Metric,Thick-film,,1%,1/8W,Panasonic,ERJ-6ENF1500V,RES 150 1% 1/8W 0805,STD,as-built 0805 (power/size),LED
R254,1,10k,R_0402_1005Metric,Thick-film,,1%,1/10W,Panasonic,ERJ-2RKF1002X,RES 10k 1% 1/10W 0402,STD,,GPIO (page 17)
R255,1,33,R_0402_1005Metric,Thick-film,,1%,1/10W,Panasonic,ERJ-2RKF33R0X,RES 33 1% 1/10W 0402,STD,,Clock MUX
R256,1,33,R_0402_1005Metric,Thick-film,,1%,1/10W,Panasonic,ERJ-2RKF33R0X,RES 33 1% 1/10W 0402,STD,,Clock MUX
R257,1,100k,R_0402_1005Metric,Thick-film,,1%,1/10W,Panasonic,ERJ-2RKF1003X,RES 100k 1% 1/10W 0402,STD,,Rb Power
R258,1,10k,R_0402_1005Metric,Thick-film,,1%,1/10W,Panasonic,ERJ-2RKF1002X,RES 10k 1% 1/10W 0402,STD,,Rb Power
R259,1,10k,R_0402_1005Metric,Thick-film,,1%,1/10W,Panasonic,ERJ-2RKF1002X,RES 10k 1% 1/10W 0402,STD,,WDT
R260,1,470,R_0402_1005Metric,Thick-film,,1%,1/10W,Panasonic,ERJ-2RKF4700X,RES 470 1% 1/10W 0402,STD,,WDT
R261,1,10k,R_0402_1005Metric,Thick-film,,1%,1/10W,Panasonic,ERJ-2RKF1002X,RES 10k 1% 1/10W 0402,STD,,Rb Power
R262,1,10k,R_0402_1005Metric,Thick-film,,1%,1/10W,Panasonic,ERJ-2RKF1002X,RES 10k 1% 1/10W 0402,STD,,Rb Power
R263,1,10k,R_0402_1005Metric,Thick-film,,1%,1/10W,Panasonic,ERJ-2RKF1002X,RES 10k 1% 1/10W 0402,STD,POE_PG->PG7 divider lower leg (E-1 fix),STM32
R264,1,174k,R_0402_1005Metric,Thick-film,,1%,1/10W,Panasonic,ERJ-2RKF1743X,RES 174k 1% 1/10W 0402,STD,POE_PG->PG7 divider upper leg (E-1 fix); MPN corrected from stale 1.21k ERJ-2RKF1211X,STM32
R265,1,10k,R_0402_1005Metric,Thick-film,,1%,1/10W,Panasonic,ERJ-2RKF1002X,RES 10k 1% 1/10W 0402,STD,INA_ALERT_VCC_RB pull-up to 3V3_STM (D-7 fix),Rb Power
U1,1,TPD4EUSB30,10-USON,,,,,Texas Instruments,TPD4EUSB30DQAR,USB ESD array,KEEP,,Ethernet Input
U2,1,LMV393,,,,,,Texas Instruments,LMV393IDGKR,Dual comparator low-voltage,STD,,PoE
U3,1,BC846BPDW1T1G,SOT-363,,,,,onsemi,BC846BPDW1T1G,Dual NPN/PNP 65V 0.1A SC70-6,KEEP,,PoE
U4,1,BC846BPDW1T1G,SOT-363,,,,,onsemi,BC846BPDW1T1G,Dual NPN/PNP 65V 0.1A SC70-6,KEEP,,PoE
U5,1,BC846BPDW1T1G,SOT-363,,,,,onsemi,BC846BPDW1T1G,Dual NPN/PNP 65V 0.1A SC70-6,KEEP,,PoE
U6,1,BC846BPDW1T1G,SOT-363,,,,,onsemi,BC846BPDW1T1G,Dual NPN/PNP 65V 0.1A SC70-6,KEEP,,PoE
U7,1,FDMQ8205A,12-MLP,,,,,onsemi,FDMQ8205A,PoE bridge rectifier (GreenBridge),KEEP,,PoE
U8,1,FDMQ8205A,12-MLP,,,,,onsemi,FDMQ8205A,PoE bridge rectifier (GreenBridge),KEEP,,PoE
U9,1,NCP1095DBR2,16-TSSOP,,,,,onsemi,NCP1095DBR2,PoE-PD controller 16-TSSOP,KEEP,,PoE
U10,1,INA228AQDGSRQ1,VSSOP10_DGS_TEX,,,,,Texas Instruments,INA228AQDGSRQ1,Current/power monitor 20-bit I2C,KEEP,,PoE
U11,1,LAN8742AI-CZ-TR,LAN8742AI-CZ-TR:QFN50P400X400X100-25N,,,,,Microchip,LAN8742AI-CZ-TR,10/100 Ethernet PHY RMII QFN-24,KEEP,,Ethernet PHY
U12,1,STM32H563ZIT6,STM32H563ZIT6:QFP50P2200X2200X160-144N,,,,,STMicroelectronics,STM32H563ZIT6,MCU Cortex-M33 2MB LQFP144,KEEP,,STM32
U13,1,LT3045xDD,Package_DFN_QFN:DFN-10-1EP_3x3mm_P0.5mm_EP1.65x2.38mm,,,,,Analog Devices,LT3045EDD#TRPBF,LDO 500mA ultralow-noise DFN-10,KEEP,,STM32
U14,1,MCP1502T-33E/CHY,SOT-23-6,,,,,Microchip,MCP1502T-33E/CHY,Voltage ref 3.3V SOT-23-6,KEEP,,STM32
U15,1,TPD4E02B04DQAR,DQA0010A,,,,,Texas Instruments,TPD4E02B04DQAR,4-ch ESD array,KEEP,,Connectors
U16,1,TPD4E02B04DQAR,DQA0010A,,,,,Texas Instruments,TPD4E02B04DQAR,4-ch ESD array,KEEP,,Connectors
U17,1,TPD4E05U06DQAR,DQA0010A,,,,,Texas Instruments,TPD4E05U06DQAR,4-ch ESD array USB/IO,KEEP,,Connectors
U18,1,TPD4E05U06DQAR,DQA0010A,,,,,Texas Instruments,TPD4E05U06DQAR,4-ch ESD array USB/IO,KEEP,,Connectors
U19,1,TPD4E02B04DQAR,DQA0010A,,,,,Texas Instruments,TPD4E02B04DQAR,4-ch ESD array,KEEP,,Connectors
U20,1,TPD4E02B04DQAR,DQA0010A,,,,,Texas Instruments,TPD4E02B04DQAR,4-ch ESD array,KEEP,,Connectors
U21,1,ZED-F9T-00B,ZED-F9T-00B:MODULE_ZED-F9T-00B,,,,,u-blox,ZED-F9T-00B,GNSS timing receiver module,KEEP,,GPS
U22,1,LT3045xDD,Package_DFN_QFN:DFN-10-1EP_3x3mm_P0.5mm_EP1.65x2.38mm,,,,,Analog Devices,LT3045EDD#TRPBF,LDO 500mA ultralow-noise DFN-10,KEEP,,GPS
U23,1,INA228AQDGSRQ1,VSSOP10_DGS_TEX,,,,,Texas Instruments,INA228AQDGSRQ1,Current/power monitor 20-bit I2C,KEEP,,GPS
U24,1,INA181A1IDBVR,DBV0006A_N,,,,,Texas Instruments,INA181A1IDBVR,Current-sense amp gain-20 SOT-23-6,KEEP,,GPS Antenna
U25,1,LMV393,,,,,,Texas Instruments,LMV393IDGKR,Dual comparator low-voltage,STD,,GPS Antenna
U26,1,INA228AQDGSRQ1,VSSOP10_DGS_TEX,,,,,Texas Instruments,INA228AQDGSRQ1,Current/power monitor 20-bit I2C,KEEP,,GPS Antenna
U27,1,RT9742VGJ5,TSOT-23-5,,,,,Richtek,RT9742VGJ5,Load switch w/ current-limit TSOT-23-5,KEEP,,GPS Antenna
U28,1,MIC28516T-E/PHA,32-PowerVQFN,,,,,Microchip,MIC28516T-E/PHA,Buck regulator 8A 32-VQFN,KEEP,,5V/3.3V Main Power Supply
U29,1,AP3441SHE-7B,8-UFDFN (Exposed Pad),,,,,Diodes Inc,AP3441SHE-7B,Buck regulator 3A UDFN,KEEP,,5V/3.3V Main Power Supply
U30,1,INA228AQDGSRQ1,VSSOP10_DGS_TEX,,,,,Texas Instruments,INA228AQDGSRQ1,Current/power monitor 20-bit I2C,KEEP,,5V/3.3V Main Power Supply
U31,1,INA228AQDGSRQ1,VSSOP10_DGS_TEX,,,,,Texas Instruments,INA228AQDGSRQ1,Current/power monitor 20-bit I2C,KEEP,,5V/3.3V Main Power Supply
U32,1,INA228AQDGSRQ1,VSSOP10_DGS_TEX,,,,,Texas Instruments,INA228AQDGSRQ1,Current/power monitor 20-bit I2C,KEEP,,5V/3.3V Main Power Supply
U33,1,RT9742VGJ5,TSOT-23-5,,,,,Richtek,RT9742VGJ5,Load switch w/ current-limit TSOT-23-5,KEEP,,5V/3.3V Main Power Supply
U34,1,TPS61094DSSR,TPS61094DSSR:SON50P300X200X80-13N,,,,,Texas Instruments,TPS61094DSSR,Bidir buck-boost supercap backup SON-13,KEEP,,Battery Backup Supplies
U35,1,TPS61094DSSR,TPS61094DSSR:SON50P300X200X80-13N,,,,,Texas Instruments,TPS61094DSSR,Bidir buck-boost supercap backup SON-13,KEEP,,Battery Backup Supplies
U36,1,OPA320AIDBVT,OPA320AIDBVT:SOT95P280X145-5N,,,,,Texas Instruments,OPA320AIDBVT,Precision op-amp RRIO SOT-23-5,KEEP,,OCXO
U37,1,INA228AQDGSRQ1,VSSOP10_DGS_TEX,,,,,Texas Instruments,INA228AQDGSRQ1,Current/power monitor 20-bit I2C,KEEP,,OCXO
U38,1,AP3441SHE-7B,8-UFDFN (Exposed Pad),,,,,Diodes Inc,AP3441SHE-7B,Buck regulator 3A UDFN,KEEP,,OCXO
U39,1,TPS7A5201QRGRRQ1,RGR20_2P05X2P05_TEX,,,,,Texas Instruments,TPS7A5201QRGRRQ1,LDO 2A low-noise VQFN-20,KEEP,,OCXO
U40,1,MIC28516T-E/PHA,32-PowerVQFN,,,,,Microchip,MIC28516T-E/PHA,Buck regulator 8A 32-VQFN,KEEP,,Rb Power
U41,1,LMV393,,,,,,Texas Instruments,LMV393IDGKR,Dual comparator low-voltage,STD,,Rb Power
U42,1,OPA320AIDBVT,OPA320AIDBVT:SOT95P280X145-5N,,,,,Texas Instruments,OPA320AIDBVT,Precision op-amp RRIO SOT-23-5,KEEP,,Rb Power
U43,1,MCP41U83T-503E/ST,Package_SO:TSSOP-14_4.4x5mm_P0.65mm,,,,,Microchip,MCP41U83T-503E/ST,Digital pot 50k I2C/SPI MTP TSSOP-14,KEEP,,Rb Power
U44,1,INA228AQDGSRQ1,VSSOP10_DGS_TEX,,,,,Texas Instruments,INA228AQDGSRQ1,Current/power monitor 20-bit I2C,KEEP,,Rb Power
U45,1,MCP1502T-30E/CHY,SOT-23-6,,,,,Microchip,MCP1502T-30E/CHY,Voltage ref 3.0V SOT-23-6,KEEP,,Rb Power
U46,1,SN65C3221EPWR,SN65C3221EPWR:SOP65P640X120-16N,,,,,Texas Instruments,SN65C3221EPWR,RS-232 transceiver TSSOP-16,KEEP,,Rb IO
U47,1,PESD15VL2BT,TO-236AB,,,,,Nexperia,"PESD15VL2BT,215",ESD/TVS 15Vwm SOT-23,KEEP,,Rb IO
U48,1,APC-817C1,4-SMD,,,,,American Bright,APC-817C1-SL,Optoisolator 5kV transistor 4-SMD,KEEP,,Rb IO
U49,1,TMUX1101DCK,Package_TO_SOT_SMD:SOT-353_SC-70-5,,,,,Texas Instruments,TMUX1101DCK,SPST analog switch SC-70-5,KEEP,,Refrence Clock Input
U50,1,LTC6752xS5,Package_TO_SOT_SMD:TSOT-23-5,,,,,Analog Devices,LTC6752IS5#TRMPBF,280MHz comparator TSOT-23-5; confirm speed grade (x),SELECT,,Refrence Clock Input
U51,1,LT3045xDD,Package_DFN_QFN:DFN-10-1EP_3x3mm_P0.5mm_EP1.65x2.38mm,,,,,Analog Devices,LT3045EDD#TRPBF,LDO 500mA ultralow-noise DFN-10,KEEP,,Refrence Clock Input
U52,1,74LVC1G157GW-Q100H,SC-74_TSOP6_SOT457_NEX,,,,,Nexperia,74LVC1G157GW-Q100H,2:1 mux single AEC-Q100 SOT-457,KEEP,,Clock MUX
U53,1,74LVC1G34,,,,,,Nexperia,"74LVC1G34GW,125",Single buffer gate SOT-353,STD,,Clock MUX
U54,1,INA228AQDGSRQ1,VSSOP10_DGS_TEX,,,,,Texas Instruments,INA228AQDGSRQ1,Current/power monitor 20-bit I2C,KEEP,,LED
U55,1,RT9742VGJ5,TSOT-23-5,,,,,Richtek,RT9742VGJ5,Load switch w/ current-limit TSOT-23-5,KEEP,,LED
U56,1,LTC4311ISC6-TRPBF,SOT-6_SC_LIT,,,,,Analog Devices,LTC4311ISC6#TRPBF,I2C rise-time accelerator SC-70-6,KEEP,,I2C Buffer
U57,1,TMP117xxDRV,Package_SON:WSON-6-1EP_2x2mm_P0.65mm_EP1x1.6mm,,,,,Texas Instruments,TMP117AIDRVR,Digital temp sensor +/-0.3C WSON-6,KEEP,,I2C Peripherals
U58,1,TMP117xxDRV,Package_SON:WSON-6-1EP_2x2mm_P0.65mm_EP1x1.6mm,,,,,Texas Instruments,TMP117AIDRVR,Digital temp sensor +/-0.3C WSON-6,KEEP,,I2C Peripherals
U59,1,LIS2DH12TR,LGA-12_STM,,,,,STMicroelectronics,LIS2DH12TR,3-axis accelerometer LGA-12,KEEP,,I2C Peripherals
U60,1,ATECC608B-SSHDA,Package_SO:SOIC-8_3.9x4.9mm_P1.27mm,,,,,Microchip,ATECC608B-SSHDA,Secure crypto element SOIC-8,KEEP,,I2C Peripherals
U61,1,IIS2MDCTR,LGA-12_2X2X0P7_STM,,,,,STMicroelectronics,IIS2MDCTR,3-axis magnetometer LGA-12,KEEP,,I2C Peripherals
U62,1,MX25L25645GM2I-08G,,,,,,Macronix,MX25L25645GM2I-08G,"256Mb SPI-NOR flash (TW-origin, policy OK)",KEEP,,SPI Peripherals
U63,1,PCA9306DCTT,DCT8,,,,,Texas Instruments,PCA9306DCTT,I2C/SMBus level translator SC-70-8,KEEP,,SPI Peripherals
U64,1,TPS3430WDRC,Package_SON:VSON-10-1EP_3x3mm_P0.5mm_EP1.65x2.4mm,,,,,Texas Instruments,TPS3430WDRC,Window watchdog timer VSON-10,KEEP,,WDT
U65,1,TPD4E05U06DQAR,DQA0010A,,,,,Texas Instruments,TPD4E05U06DQAR,4-ch ESD array USB/IO,KEEP,,Connectors
U66,1,TPD4E05U06DQAR,DQA0010A,,,,,Texas Instruments,TPD4E05U06DQAR,4-ch ESD array USB/IO,KEEP,,Connectors
U67,1,LMV393,,,,,,Texas Instruments,LMV393IDGKR,Dual comparator low-voltage,STD,,Battery Backup Supplies
U68,1,74LVC2G17,,,,,,Nexperia,"74LVC2G17GW,125",Dual Schmitt buffer SOT-363,STD,,Optical Encoder
U69,1,TPD4E05U06DQAR,DQA0010A,,,,,Texas Instruments,TPD4E05U06DQAR,4-ch ESD array USB/IO,KEEP,,Connectors
U70,1,TPD4E05U06DQAR,DQA0010A,,,,,Texas Instruments,TPD4E05U06DQAR,4-ch ESD array USB/IO,KEEP,,Connectors
U71,1,74LVC1G34,,,,,,Nexperia,"74LVC1G34GW,125",Single buffer gate SOT-353,STD,,Clock MUX
U72,1,SHT45-AD1B-R2,Sensor_Humidity:Sensirion_DFN-4_1.5x1.5mm_P0.8mm_SHT4x_NoCentralPad,,,,,Sensirion,SHT45-AD1B-R2,Humidity/temp sensor DFN-4,KEEP,,I2C Peripherals
Y1,1,25MHz,,,,,,CTS,445I23E25M00000,Crystal 25MHz 20pF SMD,KEEP,,Ethernet PHY
Y2,1,32.768kHz,,,,,,Abracon,ABS07-32.768KHZ-T,Crystal 32.768kHz 12.5pF,KEEP,,STM32
Y3,1,OH300,Oscillator:Oscillator_SMD_OCXO_ConnorWinfield_OH300,,,,,Connor-Winfield,OH300-61003CV-010.0M,VC-OCXO 10MHz CMOS,KEEP,,OCXO
