"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet","DIGIKEY_PART_NUMBER","MANUFACTURER","MANUFACTURER_PART_NUMBER","Description"
"C176","1","220nF","","","","0402 (1005 Metric)","https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GCM155R71C224KE02-01A.pdf","490-GCM155R71C224KE02JCT-ND","Murata","GCM155R71C224KE02J","CAP CER 0.22UF 16V X7R 0402"
"CR1","1","SMCJ58A","","","","DO214AC_LTF","SMCJ58A","SMCJ58ALFCT-ND","Littelfuse","SMCJ58A","TVS 58Vwm 1500W unidir"
"D1","1","BAV70LT1G","","","","SOT-23-3","https://www.onsemi.com/pdf/datasheet/bav70lt1-d.pdf","BAV70LT1GOSTR-ND","onsemi","BAV70LT1G","Dual switching diode 100V 200mA"
"D2,D3","2","DF6A6.8FUT1G","","","","Package_TO_SOT_SMD:SOT-363_SC-70-6","https://www.onsemi.com/pdf/datasheet/df6a6.8fut1-d.pdf","DF6A6.8FUT1GOSCT-ND","onsemi","DF6A6.8FUT1G","TVS array 5Vwm SC70-6"
"D4,D25","2","BZX84C12","","","","SOT-23-3 (TO-236)","https://www.onsemi.com/pdf/datasheet/bzx84c2v4lt1-d.pdf","BZX84C12LT1GOSCT-ND","onsemi","BZX84C12LT1G","DIODE ZENER 12V 250MW SOT23-3"
"D5","1","IN-P55TATRGB","","","","Library:LED_IN-P55TATRGB","https://www.inolux-corp.com/datasheet/SMDLED/RGB%20Top%20View/IN-P55TATRGB.pdf","1830-1098-1-ND","Inolux","IN-P55TATRGB","RGB LED clear 6-PLCC"
"D6,D22","2","SMF5V0A","","","","DO-219AB (SMF)","https://www.vishay.com/docs/85881/smf5v0atosmf58a.pdf","112-SMF5V0A-HE3_A08CT-ND","Vishay","SMF5V0A-HE3_A08","TVS DIODE 5VWM 9.2VC DO219AB"
"D7","1","1.5SMCJ28A","","","","DO-214AB (SMC)","https://diotec.com/request/datasheet/15smcj65.pdf","4878-1.5SMCJ28ACT-ND","Diotec Semiconductor","1.5SMCJ28A","TVS DIODE 28VWM 45.4VC DO214AB"
"D8,D9,D23","3","SZESD7410MXWT5G","","","","2-XDFN","https://www.onsemi.com/download/data-sheet/pdf/esd7410-d.pdf","488-SZESD7410MXWT5GCT-ND","onsemi","SZESD7410MXWT5G","TVS DIODE 8VWM 20VC 2X2DFNW"
"D10,D15,D17,D24","4","BAT54J","","","","SOD-323F","https://assets.nexperia.com/documents/data-sheet/BAT54J-Q.pdf","1727-BAT54J-QXCT-ND","Nexperia USA Inc.","BAT54J-QX","DIODE SCHOTTKY 30V 200MA SOD323F"
